,Sponsor,Title,Summary,Start_Year,Start_Month,Phase,Enrollment,Status,Condition,Start_Month_Name,Start_Year_Period,Enrolled_Participants
10,GSK,"Randomized, Two-period, Cross-over, Bioequivalence Study on Tamsulosin Hydrochloride 0,4 mg Prolonged Release Hard Gelatin Capsule Versus SECOTEX® (Tamsulosin Hydrochloride) 0,4 mg Prolonged Release Hard Gelatin Capsule (Boehringer Ingelheim) in Healthy Male Volunteers Under Fasting Conditions.","It will be an open-label, randomized, laboratory-blind, crossover study with 02 treatments, 02 sequences, and 02 periods, in which the healthy male volunteers under fasting conditions receive, in each period, the test formulation or the reference formulation",2010,1,Phase 1,40,Completed,Prostatic Hyperplasia,January,2006-2010,<50
11,Roche,"A Multi-center Study of the Safety and Effect on Disease Activity of Tocilizumab (TCZ) in Combination With MTX Versus Tocilizumab Monotherapy in Patients With Rheumatoid Arthritis, With Inadequate Response to MTX (Defined as DAS 28 > 3,2)","This randomized, double-blind, parallel-group study will evaluate the efficacy and safety of RoActemra/Actemra (tocilizumab) in combination with methotrexate versus RoActemra/Actemra monotherapy in patients with rheumatoid arthritis and an inadequate response to methotrexate. All patients will receive RoActemra/Actemra 8 mg/kg intravenously (iv) every 4 weeks plus oral methotrexate for 16 weeks. Patients achieving low disease activity at Week 16 will be randomized to receive a further 12 weeks of RoActemra/Actemra treatment plus either methotrexate or placebo. Anticipated time on study treatment is 28 weeks.",2011,9,Phase 4,261,Completed,"Arthritis, Rheumatoid",September,2011-2015,100-499
12,Pfizer,"A Multicenter, Double Blind, Randomized, Placebo and Raloxifene Controlled Study to Assess Safety and Efficacy of TSE-424 (Bazedoxifene Acetate) in the Prevention of Postmenopausal Osteoporosis","The purpose of this study is to determine whether TSE-424 (bazedoxifene acetate), an investigational drug, is safe and effective in the prevention of osteoporosis in postmenopausal women.",2001,7,Phase 3,1742,Completed,Osteoporosis,July,2001-2005,1K-5K
13,Pfizer,"A Phase 1 Open Label, Single Arm Trial To Evaluate The Effect Of Pf-00299804 On The Pharmacokinetics Of Dextromethorphan In Patients With Advanced Malignant Solid Tumors","Research in test tubes suggests that may affect cytochrome P450 2D6 (CYP2D6), an important enzyme that is responsible for eliminating many drugs that cancer patients need to take, including dextromethorphan. The purpose of this study is to test the impact of PF-00299804 on the activity of CYP2D6, and how the human body handles dextromethorphan.",2008,9,Phase 1,16,Completed,Neoplasms,September,2006-2010,<50
14,Pfizer,"A Phase 1, Single Dose Open-label Study To Evaluate The Pharmacokinetics Of Lorlatinib In Subjects With Impaired Renal Function","This is a Phase 1, open-label, multi-center, single treatment study in subjects with normal renal function and varying degrees of renal impairment.",2018,8,Phase 1,32,Recruiting,Renal Insufficiency,August,2016-2020,<50
15,GSK,The Efficacy of Orally Administered GSK2190915 as an add-on to Current Therapy in Subjects With Moderate to Severe Asthma Who Have Elevated Sputum Neutrophils,"A randomised, double-blind, placebo-controlled, parallel group study to evaluate the effect of treatment with GSK2190915, a FLAP inhibitor, as add-on to current inhaled corticosteroid therapy in patients with moderate to severe asthma with elevated sputum neutrophils.",2009,6,Phase 2,7,Terminated,Asthma,June,2006-2010,<50
16,Novartis,Assessment of the Effects of Tegaserod in the Management of Gastroesophageal Reflux Disease (GERD) in Patients With Incomplete Response to Proton Pump Inhibitors (PPIs).,Study to assess the effects of adding tegaserod to PPI therapy results in clinically meaningful improvement of GERD symptoms in patients with incomplete relief of symptoms on daily PPI therapy alone.,2003,6,Phase 3,54,Completed,Gastroesophageal Reflux,June,2001-2005,50-99
17,Merck,"swiTching From etAnercept to iNfliximab in the Treatment of Moderate to Severe Psoriasis; a Multi-center, Open Label Trial evaluatinG the Efficacy, tOlerance and Safety (TANGO)","This study will evaluate the efficacy, tolerability, and effect on the quality of life of infliximab in adults with moderate-to-severe psoriasis who are resistant to etanercept after 12 weeks of treatment or have failed 24 weeks of treatment with etanercept. Infliximab will be administered as an intravenous infusion of 5 mg/kg at Baseline (Week 0), Visit 3 (Week 2), Visit 4 (Week 6), Visit 6 (Week 14), and Visit 8 (Week 22).",2007,10,Phase 4,48,Completed,Psoriasis,October,2006-2010,<50
18,Bayer,"A Randomised, Double-blind, Parallel-group, Placebo-controlled Study Evaluating the Efficacy, Safety, and Reliability of 10mg Vardenafil Administered for 12 Weeks Compared to Placebo in Subjects With Erectile Dysfunction",Study to investigate the efficacy and safety of Vardenafil,2003,6,Phase 3,523,Completed,Erectile Dysfunction,June,2001-2005,500-999
19,Bayer,Open One-arm Study to Investigate Safety and Efficacy of Intramuscular Injections of 1000 mg Testosterone Undecanoate (TU) in Hypogonadal Men at Variable Intervals During a 136-week to 192-week Treatment Including Pharmacokinetics,This study will evaluate the preparation of testosterone undecanoate under conditions which resemble real-life situations.,2003,2,Phase 3,96,Completed,Hypogonadism,February,2001-2005,50-99
20,Pfizer,"A 6 Month, Open Label, Multi Center, Flexible Dose Extension Study To The B2061014 Study To Evaluate The Safety, Tolerability And Efficacy Of Desvenlafaxine Succinate Sustained Release (Dvs Sr) Tablets In The Treatment Of Children And Adolescent Outpatients With Major Depressive Disorder","This is a 6-month, open-label, flexible-dose study evaluating desvenlafaxine succinate sustained release (DVS SR) in the treatment of child and adolescent outpatients with major depressive disorder (MDD).",2012,2,Phase 3,269,Completed,"Depressive Disorder, Major",February,2011-2015,100-499
21,JNJ,An Open-Label and Double-Blind Study to Investigate Evoked Potentials as Markers of Ketamine-induced Cortical Plasticity in Subjects With Major Depressive Disorder,To evaluate if somatosensory evoked potentials (SEPs) and motor evoked potentials (MEPs) obtained with electroencephalography (EEG) and electromyography (EMG) can be used to detect changes in cortical plasticity in responders to a single IV infusion of ketamine as compared to non-responders.,2014,2,Phase 2,13,Terminated,Depressive Disorder,February,2011-2015,<50
22,GSK,"A Phase IIa Experimental Medicine Study Assessing Alterations in Regional Cerebral Blood Flow by Functional Magnetic Resonance Imaging (fMRI) in Female IBS Patients and Healthy Controls Following Single Doses of GW876008, a Corticotrophin Releasing Factor 1 Receptor Antagonist (CRF1-RA)",This is a three-period crossover study to compare GW876008 and placebo to see if GW876008 will normalise blood flow responses after different emotional stimuli.,2006,11,Phase 1,25,Completed,Irritable Bowel Syndrome,November,2006-2010,<50
23,GSK,A Sourcing Study to Collect Human Biological (Serum) Samples From Healthy Adults,"The purpose of this study is to collect large volumes of matched pairs of pre- and post-vaccination sera from healthy subjects who will be administered GlaxoSmithKline (GSK) Biologicals' vaccine against meningitis- MenACWY vaccine (Menveo) or rMenB+OMV NZ vaccine (Bexsero), which will serve for the development, qualification, validation and maintenance of immunological assays and will support the preclinical research activities and clinical development of GSK Biologicals' vaccines. The safety of the subjects given one of the 2 vaccines (Bexsero or Menveo), as per the recommended dosage and schedule will be assessed during their participation in the study.",2018,3,Phase 4,1020,Recruiting,"Meningitis, Meningococcal",March,2016-2020,1K-5K
24,Pfizer,A Phase 1 Pharmacokinetic-pharmacodynamic Study Of Avelumab (msb0010718c) In Patients With Previously Treated Advanced Stage Classical Hodgkin's Lymphoma,"This is a Phase 1b, open-label, multi-center study comprising a lead-in phase and an expansion phase. The lead-in phase is a multiple-dose, randomized, parallel-arm, pharmacokinetic and pharmacodynamic study of avelumab as a single agent in adult patients with cHL. Patients enrolled in the lead-in phase of this study are required to have relapsed following a prior autologous or allogeneic HSCT, or to be ineligible for HSCT. Based on the preliminary TO, safety, and efficacy results from the lead-in phase, the expansion phase will evaluate the anti-tumor activity and safety of single-agent avelumab utilizing an intra-patient dose escalation paradigm based on two of the dosing regimens studied in the lead-in phase in 40 cHL patients in whom an allogeneic HSCT has failed.",2016,3,Phase 1,33,"Active, not recruiting",Lymphoma,March,2016-2020,<50
25,AbbVie,"A Phase 3 Randomized, Placebo-Controlled Trial of Carboplatin and Paclitaxel With or Without the PARP Inhibitor Veliparib (ABT-888) in HER2 Negative Metastatic or Locally Advanced Unresectable BRCA-Associated Breast Cancer","The study seeks to evaluate the efficacy and tolerability of veliparib/placebo in combination with carboplatin and paclitaxel in HER2-negative metastatic or locally advanced, unresectable, BRCA-associated breast cancer.",2014,8,Phase 3,513,"Active, not recruiting",Breast Neoplasms,August,2011-2015,500-999
26,GSK,"Open, Two Periods, Two Treatments, Two Sequences, Cross-over, Randomized Study With Single Dosage of Two Oral Preparations of Alprazolam 0.5 mg Alprazolam (Zamoprax GlaxoSmithKline México, S.A. de C.V. vs. Tafil 0.5mg, Pharmacia &Upjohn, S.A. de C.V.) in Fasting Healthy Volunteers","The objective of this study was to confirm if two formulations of alprazolam (tablets) are bioequivalent. Test product was Zamoprax® 0.5 mg (GlaxoSmithKline) and reference product Tafil® 0.5 mg (Pharmacia & Upjohn). One tablet was the single dosage. The study was prospective, open-label, randomized, crossover, single dose, with 02 treatments, 02 sequences and 02 periods, under fasting conditions. The population was composed of 28 healthy volunteers, both genders, adults between 18-50 years. The comparative bioavailability of the two formulations was evaluated based in statistical comparisons of relevant pharmacokinetic parameters, obtained from data of drug concentrations in blood.",2010,12,Phase 1,28,Completed,Anxiety Disorders,December,2006-2010,<50
27,Novartis,"Efficacy and Tolerability of Intravenous Zometa® (Zoledronic Acid) 4 mg in Primary Breast Cancer Patients With Disseminated Tumor Cells in Bone Marrow. A Prospective, Randomized, Parallel Group, Open-label, Clinical Pilot Study.",Metastatic bone disease is an important prognostic factor for survival which will in median be close to two years after first diagnosis of osseous metastases. This open-label study will investigate the safety and efficacy of zoledronic acid in patients with breast cancer and minimal residual disease in the bone marrow.,2002,1,Phase 2,96,Terminated,Breast Neoplasms,January,2001-2005,50-99
28,Sanofi,A Comparative Study of the Efficacy of Irbesartan/Hydrochlorothiazide 300/25 mg Versus Valsartan/Hydrochlorothiazide 160/25 mg Using Home Blood Pressure Monitoring in the Treatment of Mild to Moderate Hypertension,"The primary objective is to compare the efficacy of irbesartan/hydrochlorothiazide 300/25mg against valsartan/hydrochlorothiazide 160/25mg in reducing mean systolic blood pressure (SBP) as measured by home blood pressure monitoring (HBPM) after 24 weeks compared with baseline. The secondary objectives are: - To compare the percentage of patients with normal blood pressure as measured by HBPM and at the doctor's office at weeks 16 and 24 - To compare the differences in mean Diastolic Blood Pressure (DBP), mean morning and evening SBP and DBP evaluated by HBPM at weeks 16 and 24 - To compare the difference in mean SBP evaluated by HBPM at week 16 - To compare the differences in mean SBP and DBP evaluated at the doctor's office at weeks 16 and 24 - To determine the incidence and severity of adverse events",2007,7,Phase 4,1617,Completed,Hypertension,July,2006-2010,1K-5K
29,GSK,"Safety and Immunogenicity Study of GSK Biologicals' Measles-mumps-rubella (MMR) Vaccine (209762) Comparing Immunogenicity and Safety to Merck & Co., Inc.'s MMR Vaccine, in Healthy Children 12 to 15 Months of Age","The purpose of this study is to evaluate the immunogenicity and safety of GSK Biologicals' trivalent MMR (Priorix), comparing it to Merck's MMR vaccine (M-M-R II), which is approved for use in the US in healthy children 12 to 15 months of age.",2014,8,Phase 3,1742,Completed,Rubella,August,2011-2015,1K-5K
30,AbbVie,"A Global Multicenter, Randomized, Double-Blind, Placebo- and Active-Controlled Study Comparing the Analgesic Efficacy and Safety of ABT-652 to Placebo in Subjects With Osteoarthritis Pain of the Knee",To compare the analgesic efficacy and safety of ABT-652 administered twice daily (BID) to placebo in subjects with osteoarthritis (OA) of the knee.,2010,9,Phase 2,322,Completed,"Osteoarthritis, Knee",September,2006-2010,100-499
31,GSK,"An Open-Label, Two-Period, Randomized, Crossover Study to Evaluate the Effect of Food on the Pharmacokinetics of Single Doses of Pazopanib in Cancer Patients",This is two-part study (Part I/Part II). Part I is designed to determine the effect of a low and high fat meal on the pharmacokinetics of single dose pazopanib (GW572016). Part II is designed to allow patients continued access to study drug in a multiple dosing regimen. Patients who are receiving clinical benefit on that regimen will go into the long term rollover study VEG105430 provided they are stable for 8 weeks.,2006,9,Phase 1,28,Completed,"Carcinoma, Renal Cell",September,2006-2010,<50
32,GSK,Study 201012: A Dose-Finding Study of Batefenterol (GSK961081) Via Dry Powder Inhaler in Patients With COPD,"Batefenterol is a novel bifunctional molecule that combines muscarinic antagonism and beta2-agonism in a single molecule. This is a multicenter, randomized, placebo-controlled, double-blind, parallel group study primarily designed to assess the dose response, efficacy and safety of five dose regimens of batefenterol administered via the dry powder inhaler (DPI) once-daily in the morning for 42 days in subjects with COPD. The information obtained from this study will be used to select the minimal, optimally effective and safe dose of batefenterol and also to evaluate the pharmacokinetic profile and established pharmacodynamic (PD) responses of batefenterol. These data will support for future studies with batefenterol in COPD subjects. The study will consist of a pre-screening visit, screening visit; a run-in period (2 weeks), treatment period of 42 days and a follow-up visit 7 days post-treatment. The total duration of the study for each subject will be approximately 9 weeks. Approximately 460 subjects will be screened in order to randomize approximately 320 subjects, assuming that 280 subjects will complete the study. During treatment period, subjects will be randomized to one of the following treatments delivered via DPI once daily in the morning: Batefenterol 37.5 mcg, 75 mcg, 150 mcg, 300 mcg and 600 mcg, umeclidinium/vilanterol (UMEC/VI) 62.5/25 mcg and placebo. All subjects will receive supplemental albuterol/salbutamol to be used on an as-needed basis (rescue medication) throughout the study.",2015,11,Phase 2,325,Completed,"Pulmonary Disease, Chronic Obstructive",November,2011-2015,100-499
33,Novartis,"A 26-week Treatment, Randomized, Double-blind, Placebo-controlled, Parallel Group Study to Assess the Efficacy, Safety and Tolerability of NVA237 in Patients With Chronic Obstructive Pulmonary Disease","A study to assess the safety, tolerability and efficacy of NVA237 versus placebo in patients with moderate-to-severe chronic obstructive pulmonary disease (COPD).",2009,10,Phase 3,1324,Completed,"Pulmonary Disease, Chronic Obstructive",October,2006-2010,1K-5K
34,Sanofi,"National, Phase IV, Multicentric, Open Label, Comparative Study to Evaluate the Efficacy and Safety of Insulin Glargine Plus Glulisine and Sliding Scale Plus Glulisine in Hospitalized Patients With Diabetes Metabolism Type II Under Enteral Nutrition.",Primary Objective: 1- Proportion of patients with mean daily glycemia <140mg/dL during the period of 7 days of treatment with glargine plus supplemental glulisine versus patients with glulisine sliding scale. Secondary Objective: 1. Incidence of moderate hyperglycemia (>140mg/dL) during the treatment period. 2. Incidence of hypoglycemia (<60mg/dL and < 40mg/dL) during the treatment period. 3. Incidence of severe hyperglycemia (>400mg/dL) during the treatment period. 4. Total dose of insulin and correction dose in each group.,2010,2,Phase 4,15,Terminated,"Diabetes Mellitus, Type 2",February,2006-2010,<50
35,Pfizer,"A Phase III, Double-Blind, Placebo-Controlled, Fixed-Dose Response Study Comparing the Efficacy and Safety of Sumanirole Versus Placebo in Patients With Early Parkinson's Disease.","The primary purpose of this study is to determine whether sumanirole, at three different dose levels, is effective and safe in the treatment of the signs and symptoms of early Parkinson's disease",2003,4,Phase 3,854,Completed,Parkinson Disease,April,2001-2005,500-999
36,Bayer,"A Non-randomized, Open-label, Multi-center, Phase I/II Study of Phosphatidylinositol-3-kinase (PI3K) Inhibitor Copanlisib in Pediatric Patients With Relapsed/Refractory Solid Tumors or Lymphoma","This study is designed to investigate whether the use of copanlisib is safe, feasible and beneficial to pediatric patients with solid solid tumors or lymphoma that are recurrent or refractory to standard therapy.",2018,4,Phase 1/Phase 2,130,Recruiting,"Mixed Tumor, Malignant",April,2016-2020,100-499
37,Merck,"Double Blind, Placebo Controlled Trial, Evaluating the Role of Nasonex® in the Management of Nasal Obstruction Secondary to Adenoids Hypertrophy in Children","This is a randomized, double-blind, placebo-controlled study to document the long-term effect of treatment with mometasone furoate nasal spray in moderate to severe adenoids hypertrophy as reflected by the need for removal of the adenoids within one year of the treatment regimen. Subjects will be assigned treated with either mometasone furoate nasal spray or placebo for 3 months. Subjects will be followed for an addition 12 months. Serious AEs will be followed starting first dose-till 30 days after study treatment period completion. This study was terminated - Please see ""P04367 - Lebanon""",2006,5,Phase 4,285,Terminated,Nasal Obstruction,May,2006-2010,100-499
38,Novartis,"A Phase II, Open Label, Uncontrolled, Multi Center Study to Evaluate Safety and Immunogenicity of FLUAD® Surface Antigen, Inactivated, Adjuvanted With MF59C.1 Influenza Vaccine, Formulation 2008-2009, When Administered to Elderly Subjects",Trial for annual approval of interpandemic influenza vaccines,2008,6,Phase 2,64,Completed,"Influenza, Human",June,2006-2010,50-99
39,Novartis,"An Open-Label, Multi-Center Study to Investigate the Objective Response Rate of Dabrafenib in Combination With Trametinib in Subjects With BRAF V600 Mutation-Positive Melanoma","This is a single-arm, open-label, multi-center, Phase II study to evaluate dabrafenib and trametinib combination therapy in subjects with BRAF V600 mutation-positive, unresectable or metastatic Acral lentiginous or cutaneous melanoma. This study will evaluate the objective response rate (ORR), progression free survival (PFS), duration of response, overall survival (OS), safety and efficacy, to assess steady state (all subjects) exposure to dabrafenib, dabrafenib metabolites, and trametinib and characterize the population pharmacokinetics (PK) and pharmacodynamics (PD) of dabrafenib and trametinib. Subjects will be enrolled and will receive dabrafenib 150 milligram (mg) orally twice daily and trametinib 2 mg orally once daily. Treatment will continue until disease progression, death, unacceptable toxicity, or withdrawal of consent, or study closure. After treatment discontinuation, subjects will be followed for survival and disease progression as applicable.",2014,3,Phase 2,69,"Active, not recruiting",Melanoma,March,2011-2015,50-99
40,Roche,"A Phase III, Randomized, Multicenter, Double-blind, Placebo-controlled Clinical Trial of Omalizumab in Patients With Chronic Rhinosinusitis With Nasal Polyps",The purpose of this study is to determine the efficacy and safety of omalizumab compared with placebo in adult patients with chronic rhinosinusitis with nasal polyps (CRSwNP) who have had an inadequate response to standard-of-care treatments.,2017,11,Phase 3,127,"Active, not recruiting",Nasal Polyps,November,2016-2020,100-499
41,Novartis,"A Multicenter, Randomized, Double-blind, Placebo-controlled Phase II Study to Assess the Safety, Tolerability and Pharmacokinetics of Serelaxin When Added to Standard Therapy in Japanese Acute Heart Failure Patients","This is a multicenter, randomized, double-blind, placebo-controlled study to assess safety, tolerability and pharmacokinetics and to explore efficacy of IV infusion of 10 µg/kg/day and 30 µg/kg/day serelaxin for 48 hours compared to placebo, when added to the standard therapy, in approximately 45 Japanese AHF patients.",2014,1,Phase 2,46,Completed,Heart Failure,January,2011-2015,<50
42,GSK,"A Randomised, Double-blind, Double-dummy, Parallel-group Multicentre Study to Assess Efficacy and Safety of Fluticasone Furoate/GW642444 Inhalation Powder and Fluticasone Propionate/Salmeterol Inhalation Powder in the Treatment of Persistent Asthma in Adults and Adolescents",The purpose of the study is to compare the efficacy and safety of fluticasone furoate/vilanterol (GW642444) inhalation powder administered once daily with fluticasone propionate/salmeterol administered twice daily in adolescent and adult subjects 12 years of age and older with persistent bronchial asthma over a 24-week period.,2010,6,Phase 3,810,Completed,Asthma,June,2006-2010,500-999
43,Merck,"A Study in Healthy Japanese Young Adults to Assess the Safety, Tolerability, and Immunogenicity of HEPTAVAX-II Manufactured Using a Modified Process","This is a study to evaluate immunogenicity, safety, and tolerability of 2XP HEPTAVAX™-II compared with the 1XP HEPTAVAX™-II in healthy Japanese young adults.",2011,11,Phase 3,722,Completed,Hepatitis B,November,2011-2015,500-999
44,Roche,A Multicenter Prospective Cohort Study to Investigate if Ganciclovir Significantly Affects Spermatogenesis in Adult Male Renal Transplant Recipients Receiving up to 200 Days Valganciclovir Vs. Concurrent Untreated Matched Controls,This observational study will compare spermatogenesis in male adult renal transplant recipients receiving valganciclovir versus untreated matched controls. Data will be collected from each participant for up to 52 weeks post transplant.,2012,1,Phase 4,59,Completed,Cytomegalovirus Infections,January,2011-2015,50-99
45,GSK,"A Multi-centre, One-arm Prospective Study to Evaluate Efficacy and Safety of Switching From Entecavir (ETV) to Tenofovir Disoproxil Fumarate (TDF) in Japanese Chronic Hepatitis B HBeAg-positive and HBV-DNA Undetectable Subjects","Tenofovir Disoproxil Fumarate is a nucleos(t)ide analogue that inhibits Hepatitis B Virus (HBV) growth, and is marketed in Japan with an indication for inhibition of HBV growth in subjects with chronic hepatitis B associated with HBV growth and abnormal liver function. This study has been planned to evaluate the virological effects and safety of switching from ETV to TDF in chronic hepatitis B (hepatitis B e-antigen [HBeAg])-positive and HBV- deoxyribonucleic acid (DNA) undetectable subjects. This study is designed as a multi-center, one-arm, post-marketing clinical study to investigate the HBsAg reduction in subjects who have not achieved the long-term goal, the loss of hepatitis B surface antigen (HBsAg). The study will be conducted in HBeAg-positive and HBV-DNA undetectable subjects treated with ETV. After switching ETV to TDF, TDF will be administered for 96 weeks. Approximately 80 subjects will be screened to achieve 65 evaluable subjects.",2017,10,Phase 4,65,"Active, not recruiting","Hepatitis, Chronic",October,2016-2020,50-99
46,GSK,"A Open-label, Randomized, Single-dose, 3-way Crossover Study to Investigate the Pharmacokinetics, Safety and Tolerability of 2 Different Formulations of Orvepitant and the Effect of Food in Healthy Volunteers.","This study is an open-label, randomised, single dose study to determine the pharmacokinetics, safety and tolerability of 2 different formulations of orvepitant 60 mg and the effect of food in 15 Healthy Volunteers.",2008,8,Phase 1,14,Completed,Depressive Disorder,August,2006-2010,<50
